"id","ticker","weight","weight2"
"UK1","AAL",1.15,0
"UK2","ABF",0.41,0
"UK3","ADM",0.37,0
"UK4","AGK",0,0
"UK5","AHT",1.33,0
"UK6","ANTO",0.38,0
"UK7","AV",0,0
"UK8","AZN",8.25,0.0624290578887628
"UK9","BA",0,0
"UK10","BAB",0,0
"UK11","BARC",1.37,0
"UK12","BATS",2.45,0
"UK13","BLND",0,0
"UK14","BLT",0,0
"UK15","BNZL",0.55,0
"UK16","BP",0,0
"UK17","BRBY",0.24,0
"UK18","BT",0,0
"UK19","CCL",0,0
"UK20","CNA",0.36,0
"UK21","CPG",1.96,0
"UK22","CPI",0,0
"UK23","CRDA",0.34,0
"UK24","CRH",2.44,0
"UK25","DGE",3.47,0.0262580401059402
"UK26","EXPN",1.64,0
"UK27","EZJ",0,0
"UK28","FRES",0,0
"UK29","GFS",0,0
"UK30","GLEN",2.09,0
"UK31","HMSO",0,0
"UK32","HSBA",6.18,0.0467650397275823
"UK33","IAG",0,0
"UK34","IHG",0.73,0
"UK35","IMT",0,0
"UK36","ISAT",0,0
"UK37","ITRK",0.4,0
"UK38","ITV",0,0
"UK39","KGF",0.22,0
"UK40","LAND",0.23,0
"UK41","LGEN",0.77,0
"UK42","LLOY",1.6,0
"UK43","LSE",0,0
"UK44","MKS",0,0
"UK45","MNDI",0.32,0
"UK46","MRW",0,0
"UK47","NG",0,0
"UK48","NXT",0.53,0
"UK49","PFC",0,0
"UK50","PRU",1.13,0
"UK51","PSN",0.24,0
"UK52","PSON",0.34,0
"UK53","RB",0,0
"UK54","RBS",0,0
"UK55","RDSB",0,0
"UK56","REL",3.41,0.0258040105940219
"UK57","RIO",3.04,0
"UK58","RMG",0,0
"UK59","RR",0,0
"UK60","RSA",0,0
"UK61","SBRY",0.21,0
"UK62","SGE",0.68,0
"UK63","SMIN",0.29,0
"UK64","SN",0,0
"UK65","SSE",0.94,0
"UK66","STAN",0.82,0
"UK67","SVT",0.35,0
"UK68","TATE",0,0
"UK69","TLW",0,0
"UK70","TPK",0,0
"UK71","TSCO",1.03,0
"UK72","ULVR",5.12,0.0387438516836928
"UK73","UU",0,0
"UK74","VOD",0.85,0
"UK75","WEIR",0,0
"UK76","WOS",0,0
"UK77","WPP",0.4,0
"UK78","WTB",0.31,0
"US1","A",0.09,0
"US2","AA",0,0
"US3","AABA",0,0
"US4","AAL",0.02,0
"US5","AAPL",6.07,0.206550404083369
"US6","ABC",0,0
"US7","ABEV",0,0
"US8","ABT",0.48,0
"US9","ADBE",0.6,0
"US10","ADI",0.23,0
"US11","ADP",0.24,0
"US12","ADSK",0.13,0
"US14","AIG",0.12,0
"US15","ALL",0.09,0
"US16","ALXN",0,0
"US17","AMAT",0.41,0
"US18","AMD",0.76,0
"US19","AMGN",0.35,0
"US20","AMT",0.22,0
"US21","AMZN",3.74,0.127264993619736
"US22","ANTM",0,0
"US23","APA",0.02,0
"US24","APC",0,0
"US25","APD",0.12,0
"US26","ATVI",0,0
"US27","AVB",0.06,0
"US28","AVGO",1.42,0
"US29","AXP",0.29,0
"US30","AZN",0,0
"US31","AZO",0.12,0
"US32","BA",0.26,0
"US33","BABA",0,0
"US34","BAC",0.55,0
"US35","BBD",0,0
"US36","BBT",0,0
"US37","BBY",0.04,0
"US38","BDX",0.16,0
"US39","BIDU",0,0
"US40","BIIB",0.07,0
"US41","BK",0.1,0
"US42","BMY",0.24,0
"US43","BP",0,0
"US44","BRKB",0,0
"US45","BSX",0.23,0
"US46","C",0.25,0
"US47","CAG",0.03,0
"US49","CAT",0.4,0
"US50","CBS",0,0
"US51","CELG",0,0
"US52","CF",0.04,0
"US53","CI",0.22,0
"US54","CL",0.16,0
"US55","CMCSA",0.4,0
"US56","CME",0.18,0
"US57","CMG",0.17,0
"US58","CMI",0.09,0
"US59","COL",0,0
"US61","COST",0.77,0
"US62","CRM",0.71,0
"US63","CS",0,0
"US64","CSCO",0.45,0
"US65","CSX",0.17,0
"US66","CTL",0,0
"US67","CTSH",0.09,0
"US68","CVS",0.22,0
"US69","CVX",0.62,0
"US70","D",0.09,0
"US71","DAL",0.06,0
"US72","DE",0.23,0
"US73","DFS",0.07,0
"US74","DG",0.08,0
"US75","DHI",0.11,0
"US76","DHR",0.39,0
"US77","DIS",0.47,0
"US79","DUK",0.16,0
"US80","DVA",0.02,0
"US81","DVN",0.07,0
"US82","EA",0.08,0
"US83","EBAY",0.06,0
"US84","EFX",0.08,0
"US85","EIX",0.06,0
"US86","EL",0.08,0
"US87","EMR",0.14,0
"US88","EOG",0.16,0
"US89","EQT",0.04,0
"US90","ESRX",0,0
"US91","EXC",0.08,0
"US93","F",0.11,0
"US94","FB",0,0
"US95","FCX",0.13,0
"US96","FDX",0.13,0
"US97","FE",0.04,0
"US98","FOXA",0.02,0
"US99","GE",0.4,0
"US100","GILD",0.21,0
"US101","GIS",0.09,0
"US102","GLW",0.06,0
"US103","GM",0.13,0
"US104","GOOG",1.59,0
"US105","GOOGL",1.87,0.0636324968098681
"US106","GPS",0,0
"US107","GS",0.29,0
"US108","GWW",0.1,0
"US109","HAL",0.07,0
"US110","HCN",0,0
"US111","HCP",0,0
"US112","HD",0.89,0
"US113","HES",0.09,0
"US114","HON",0.3,0
"US115","HPQ",0.06,0
"US116","HUM",0.1,0
"US117","IBM",0.4,0
"US118","ICE",0.18,0
"US119","ILMN",0.05,0
"US120","INTC",0.43,0
"US121","INTU",0.43,0
"US122","IPG",0.03,0
"US123","ISRG",0.32,0
"US124","ITUB",0,0
"US125","ITW",0.16,0
"US126","JCI",0.09,0
"US127","JNJ",0.9,0
"US128","JPM ",0,0
"US129","JWN",0,0
"US130","K",0.03,0
"US131","KEY",0.03,0
"US132","KHC",0.06,0
"US133","KMB",0.1,0
"US134","KMI",0.08,0
"US135","KO",0.54,0
"US136","KR",0.07,0
"US137","KSS",0,0
"US138","L",0.03,0
"US139","LEN",0.09,0
"US140","LLY",1.44,0
"US141","LMY",0,0
"US142","LOW",0.33,0
"US143","LRCX",0.3,0
"US144","LUV",0.05,0
"US145","LVS",0.04,0
"US146","M",0,0
"US147","MA",0.91,0
"US148","MAR",0.14,0
"US149","MAT",0,0
"US150","MCD",0.49,0
"US151","MCHP",0.11,0
"US152","MCK",0.16,0
"US153","MDLZ",0.23,0
"US154","MET",0.1,0
"US156","MMM",0.12,0
"US157","MO",0.17,0
"US158","MPC",0.15,0
"US159","MRK",0.74,0
"US160","MRO",0.03,0
"US161","MS",0.25,0
"US162","MSFT",7.13,0.242620161633347
"US163","MU",0.24,0
"US164","NBL",0,0
"US165","NEE",0.26,0
"US166","NEM",0.09,0
"US167","NFLX",0.63,0
"US168","NKE",0.29,0
"US169","NOC",0.15,0
"US170","NRG",0.03,0
"US171","NSC",0.13,0
"US172","NVDA",4.7,0.159931943853679
"US173","NWL",0,0
"US174","OKE",0.1,0
"US175","OMC",0.04,0
"US176","ORCL",0.42,0
"US177","ORLY",0.15,0
"US178","OXY",0.09,0
"US179","PAYX",0.09,0
"US180","PBR",0,0
"US181","PCAR",0.14,0
"US182","PCG",0.08,0
"US183","PCLN",0,0
"US184","PEP",0.52,0
"US185","PFE",0.35,0
"US186","PG",0.87,0
"US187","PGR",0.25,0
"US188","PH",0.16,0
"US189","PM",0.32,0
"US190","PNC",0.14,0
"US191","PPG",0.08,0
"US192","PRU",0.09,0
"US193","PSA",0.1,0
"US194","PSX",0.15,0
"US195","PXD",0.13,0
"US196","PYPL",0.15,0
"US197","QCOM",0.42,0
"US198","REGN",0.24,0
"US199","RF",0.04,0
"US200","ROST",0.12,0
"US201","RRC",0,0
"US202","RTN",0,0
"US203","SBUX",0.25,0
"US204","SCHW",0.23,0
"US205","SHW",0.18,0
"US206","SJM",0.03,0
"US207","SNAP",0,0
"US208","SO",0.17,0
"US209","SPG",0.11,0
"US210","STI",0,0
"US211","STT",0.05,0
"US212","STZ",0.09,0
"US213","SWK",0.03,0
"US214","SYK",0.28,0
"US215","SYMC",0,0
"US216","SYY",0.09,0
"US218","TAP",0.03,0
"US219","TEVA",0,0
"US220","TGT",0.17,0
"US221","TIF",0,0
"US223","TMO",0.52,0
"US224","TROW",0.06,0
"US225","TRV",0.12,0
"US226","TSLA",1.29,0
"US227","TSM",0,0
"US228","TSN",0.04,0
"US229","TWTR",0,0
"US230","TXN",0.36,0
"US231","ULTA",0.06,0
"US233","UNP",0.36,0
"US234","UPS",0.25,0
"US235","USB",0.15,0
"US236","UTX",0,0
"US237","V",1.04,0
"US238","VALE",0,0
"US239","VFC",0.01,0
"US240","VIAB",0,0
"US241","VLO",0.11,0
"US242","VMC",0.08,0
"US243","VRTX",0.26,0
"US244","VZ",0.39,0
"US245","WBA",0.04,0
"US246","WDC",0.05,0
"US247","WFC",0.46,0
"US248","WHR",0.01,0
"US249","WMT",0.58,0
"US250","WYNN",0.02,0
"US251","X",0,0
"US252","XLNX",0,0
"US253","XOM",0.98,0
"US254","YUM",0.09,0
"US255","ZBH",0.06,0
